Application ID,Application Code,Name,Max Criticality,Confidentiality,Integrity,Availability,Authenticity
D6651BDD59D644FF,AID311,Appway_CO-M,CR,CR,CR,CR,CR
D26AD4255A931519,AID357,Data Operations Infrastructure,N,N,N,N,N
FA6BFC02569D5641,AID204,CFN,CR,CR,CR,CR,CR
FA6BFC0E569D574E,AID198,CORONA,CR,CR,CR,CR,CR
FA6BFC1D569D585B,AID199,Datawarehouse (MURES),CR,CR,CR,CR,CR
FA6BFC2F569D5A75,AID197,WMB,CR,CR,CR,CR,MI
FA6BFAC4569D4DF1,AID202,CCS,CR,CR,CR,CR,CR
FA6BFBE5569D52A5,AID201,CDOC,CR,CR,CR,CR,CR
FA6BFBF5569D5534,AID203,CDS,CR,CR,CR,CR,CR
9E6F9EBE5B23334D,AID451,Capital Markets Academy Webshop,N,N,N,N,N
E071E0DE5AC52DC0,AID389,Crest Adapter,N,N,N,N,N
,,,,,,,
F176314157505B71,AID255,eListing,CR,MI,CR,MI,CR
F17631D957505BCE,AID256,eListingStructuredProducts,MA,MI,MI,MA,MI
C377C3D756E24981,AID229,TEX,MA,MA,MA,MA,MA
31784A1256322331,AID218,FD7,MA,MA,MA,MA,MA
,,,,,,,
CA78CAD95A8E4152,AID356,FAR,N,N,N,N,N
267B27075A1816CE,AID320,Difference Claim Tool,CR,CR,CR,CR,MA
,,,,,,,
E77FEACF5B0B1F33,AID450,Venture Network Platform,N,N,N,N,N
648266605A60794B,AID329,Clearing Analytics Service,N,N,N,N,N
,,,,,,,
69876A4F598D25E5,AID301,ECP - StarCompliance,MA,MA,MA,MI,MI
69876A78598D263B,AID300,Appway_RegOut,MA,MA,MI,MI,MI
,,,,,,,
898889D15AD9399A,AID402,ITSecInfrastructure,CR,CR,CR,CR,MA
1E8F25145AEC65F2,AID416,Exchange,N,N,N,N,N
1E8F29295AEC68DC,AID417,SharePoint,N,N,N,N,N
1E8F1FEF5AEC646B,AID415,Active Directory,N,N,N,N,N
0A900B1C5A5F0303,AID328,FQPM,MI,MI,MI,MI,MI
E690F34C58B71F1D,AID278,RICA Market Data,MI,MI,MI,MI,MI
E690F07258B71E28,AID277,RICA Hedging,CR,CR,CR,MA,CR
8F9697465A371DF7,AID322,ICOS2,MI,MI,MI,MI,MI
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
639C641858C63C5C,AID281,ISE OBOE,MA,MI,MI,MI,MA
07A108315AEB6D78,AID412,Lecare,N,N,N,N,N
07A108FC5AEB6EE2,AID413,JIRA,N,N,N,N,N
3AA43CEB58FF55D1,AID005,DWH EUREX,CR,CR,CR,CR,CR
,,,,,,,
B7A5B8E85AE16A86,AID406,Digital Business Platform,N,N,N,N,N
CAA7CB0F5AEA3EB1,AID410,CircleCI,N,N,N,N,N
D8ADDF075A3809CF,AID325,"Exchange Reporting System, ERS",MI,MI,MI,MI,MI
09B01C0156718679,AID211,SAP SRM,MI,MI,MI,MI,MI
09B02C1F5671989D,AID226,Xpider,N,N,N,N,N
09B0223D56718B68,AID215,YouNovate,MA,MA,MI,MI,MI
,,,,,,,
09B01EB0567189A2,AID214,SAP CLM,CR,CR,CR,MA,CR
,,,,,,,
09B025DE56718D4D,AID225,Lotus Notes,CR,CR,CR,CR,CR
8AB48C535995203F,AID302,DMP Auction Tool,CR,CR,CR,MA,CR
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ACB6AD4E58D201CC,AID292,M7 XBID,CR,CR,CR,CR,CR
90B7930759AE3311,AID308,RCAdmission,MI,MI,MI,MI,MI
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
